Name,State,Date,Latitude,Longitude
Abbotsford,Wisconsin,06/15/1904,44.946356,-90.315969
Abrams,Wisconsin,08/15/1904,44.7794197,-88.0597767
Adel,Wisconsin,07/15/1903,42.650508,-89.0181519
Albany,Wisconsin,07/01/1902,42.7079729,-89.4368317
Algoma,Wisconsin,11/15/1902,44.6107841,-87.4387358
Allenton,Wisconsin,02/15/1904,43.4205543,-88.3409305
Allenville,Wisconsin,04/15/1903,44.133039,-88.6189998
Alma,Wisconsin,11/16/1903,44.3199654,-91.9148839
Alma Center,Wisconsin,08/15/1899,44.4371839,-90.911258
Almond,Wisconsin,11/15/1902,44.30030825,-89.4169359137938
Amery,Wisconsin,10/01/1903,45.3069062,-92.3621369
Amherst,Wisconsin,12/01/1903,44.4506775,-89.2845905
Amherst Junction,Wisconsin,04/15/1904,44.4688628,-89.3126138
Antigo,Wisconsin,04/01/1902,45.1402451,-89.1523353
Appleton,Wisconsin,03/15/1900,44.2611337,-88.4067604
Arcadia,Wisconsin,04/01/1903,44.2527405,-91.5015432
Arena,Wisconsin,03/01/1902,43.165548,-89.9129013
Argyle ,Wisconsin,10/01/1903,42.7010486,-89.8672215
Arkansaw,Wisconsin,11/02/1903,44.6338413,-92.0313805
Arkdale,Wisconsin,05/16/1904,44.0271908,-89.8879049
Arlington,Wisconsin,10/01/1903,43.338044,-89.3803956
Arpin,Wisconsin,12/01/1904,44.540516,-90.0351302
Ashland,Wisconsin,10/15/1904,46.5930765,-90.8838706
Athens,Wisconsin,04/15/1904,45.0330224,-90.0740226
Auburndale,Wisconsin,12/01/1904,44.6258241,-90.0113664
Augusta,Wisconsin,04/02/1900,44.6802386,-91.1198755
Avalon ,Wisconsin,12/15/1903,42.6327908,-88.8676077
Avoca,Wisconsin,07/01/1902,43.181933,-90.3245687
Bagley,Wisconsin,03/01/1902,42.9055428,-91.10124
Baileys Harbor,Wisconsin,05/02/1904,45.0649933,-87.1242739
Baldwin,Wisconsin,07/01/1902,44.9666323,-92.3743576
Bancroft,Wisconsin,05/02/1904,44.3096935,-89.5137302
Bangor,Wisconsin,09/01/1900,43.8930218,-90.9904109
Baraboo,Wisconsin,09/01/1900,43.4704014,-89.7437844
Barneveld,Wisconsin,08/01/1900,43.0153376,-89.8958792
Barnum,Wisconsin,09/15/1903,43.2188701,-90.8395715
Barron,Wisconsin,12/01/1902,45.423557,-91.8454099
Barton,Wisconsin,06/18/1900,43.4436104,-88.1806501
Basco,Wisconsin,07/15/1902,42.9119447,-89.5148433
Bay City,Wisconsin,09/15/1903,44.5855232,-92.4504648
Beaverdam,Wisconsin,08/15/1900,45.8876826,-90.3055696
Beetown,Wisconsin,10/01/1904,42.7949911,-90.8854047
Beldenville,Wisconsin,02/01/1902,44.7738564,-92.5076915
Belgium,Wisconsin,06/01/1904,43.4997212,-87.850367
Belleville,Wisconsin,08/01/1900,42.8595048,-89.5333388
Belmont,Wisconsin,08/01/1904,44.2873545,-89.2852059930703
Beloit,Wisconsin,07/16/1900,42.5083272,-89.031784
Berlin,Wisconsin,06/11/1900,43.9680365,-88.9434477
Black Earth,Wisconsin,07/15/1902,43.1378765,-89.7482978
Black River Falls,Wisconsin,08/15/1900,44.2952152,-90.8484137
Blackcreek,Wisconsin,11/01/1901,nf,nf
Blair,Wisconsin,10/01/1903,44.2944029,-91.2351602
Blanchardville,Wisconsin,07/01/1902,42.8103343,-89.8622446
Bloom City,Wisconsin,11/01/1904,43.49428,-90.4638765
Bloomer,Wisconsin,10/01/1900,45.1002449,-91.488621
Bloomington,Wisconsin,10/01/1904,42.8852664,-90.9234604
Blue Mounds,Wisconsin,07/01/1901,43.0174968,-89.8323454
Blue River,Wisconsin,02/15/1904,43.1846918,-90.5379004
Boaz,Wisconsin,01/15/1904,43.3313703,-90.5259603
Bonduel,Wisconsin,10/01/1902,44.7402679,-88.4448243
Boscobel,Wisconsin,05/01/1900,43.1344278,-90.7054009
Boyceville,Wisconsin,10/15/1903,45.0435742,-92.0410145
Boyd,Wisconsin,04/01/1903,44.9519088,-91.0348656
Brandon,Wisconsin,10/15/1900,43.7352624,-88.7812212
Bridgeport,Wisconsin,10/15/1904,43.0091515,-91.0579059
Brillion,Wisconsin,09/01/1904,44.1772188,-88.064263
Bristol,Wisconsin,07/01/1902,42.558908,-88.0492498
Brodhead,Wisconsin,07/16/1900,42.6197241,-89.3768517
Brookfield,Wisconsin,07/15/1903,43.0605671,-88.1064787
Brooklyn,Wisconsin,07/01/1901,42.8523555,-89.3691672
Browntown,Wisconsin,06/01/1904,42.5774142,-89.7941941
Bruce,Wisconsin,03/01/1904,45.4569087,-91.2732106
Burlington,Wisconsin,02/01/1904,42.6780726,-88.2762026
Burnett Junction,Wisconsin,04/01/1904,nf,nf
Cadott,Wisconsin,09/15/1900,44.9480187,-91.1507031
Caledonia,Wisconsin,10/01/1902,44.2716577,-88.779467592696
Calhoun,Wisconsin,07/15/1903,43.0133461,-88.1270343
Cambria,Wisconsin,11/15/1900,43.542207,-89.1073356
Cambridge,Wisconsin,11/01/1900,43.0036122,-89.0164995
Cameron,Wisconsin,09/01/1903,45.4085696,-91.7440591
Camp Douglas,Wisconsin,10/01/1903,43.9226641,-90.2711682
Campbellsport,Wisconsin,05/01/1900,,
Cartwright,Wisconsin,02/01/1902,45.331611,-91.6663289
Cascade,Wisconsin,07/15/1903,43.6583291,-88.0070381
Casco,Wisconsin,12/01/1904,44.5577747,-87.6181461
Cashton,Wisconsin,12/01/1902,43.7419143,-90.7792984
Cassville,Wisconsin,03/01/1902,42.7144374,-90.9906836
Cato,Wisconsin,09/01/1904,44.1427713,-87.8612025
Cavalry,Wisconsin,05/02/1904,43.98439,-90.6997569
Cazenovia,Wisconsin,09/01/1904,43.5230345,-90.196238
Cecil,Wisconsin,04/15/1904,44.8099895,-88.4523248
Cedar Grove,Wisconsin,11/15/1900,43.5697202,-87.823422
Cedarburg,Wisconsin,04/01/1902,43.2966716,-87.9875898
Centuria,Wisconsin,09/15/1904,45.4513484,-92.554092
Chetek,Wisconsin,02/01/1902,45.3141273,-91.6510007
Chilton,Wisconsin,03/01/1902,44.028944,-88.1628151
Chippewa Falls,Wisconsin,09/01/1900,44.9369054,-91.3929348
Clayton,Wisconsin,02/15/1904,45.331349,-92.1712964
Clearlake,Wisconsin,02/15/1904,42.7820439,-88.9654696
Clearlake,Wisconsin,05/02/1904,42.7820439,-88.9654696
Cleveland,Wisconsin,03/01/1902,43.9149942,-87.7473085
Clinton,Wisconsin,04/01/1902,42.5577925,-88.865107
Clintonville,Wisconsin,07/01/1902,44.6205348,-88.7623227
Cobb,Wisconsin,04/01/1903,42.9674255,-90.329758
Cochrane,Wisconsin,06/01/1904,44.2274643,-91.835157
Colby,Wisconsin,12/01/1902,44.9099665,-90.3156911
Coleman,Wisconsin,11/01/1904,45.0649843,-88.0342701
Colfax,Wisconsin,05/01/1901,44.9974614,-91.7271154
Colgate,Wisconsin,04/15/1904,43.1930623,-88.2067595
Coloma Station,Wisconsin,06/01/1904,44.0355294,-89.5215116
Columbus,Wisconsin,08/15/1899,43.339285,-89.0148148
Corliss,Wisconsin,02/01/1904,42.699663,-87.8972639
Cottage Grove,Wisconsin,07/15/1902,43.0785747,-89.1988571
Cream,Wisconsin,10/15/1904,44.3160757,-91.7718224
Crossplains,Wisconsin,07/15/1902,nf,nf
Cuba,Wisconsin,12/15/1903,42.6055549,-90.4298502
Cumberland,Wisconsin,05/01/1900,45.5321764,-92.019346
Curtiss,Wisconsin,02/02/1903,44.9552462,-90.4345795
Cylon,Wisconsin,02/01/1902,45.1221865,-92.352969
Dale,Wisconsin,07/01/1902,44.2735402,-88.6810976
Dallas,Wisconsin,10/01/1903,45.2591275,-91.8148954
Dane,Wisconsin,07/15/1902,43.0709273,-89.4322174
Darien,Wisconsin,04/01/1904,42.6016814,-88.7076041
Darlington,Wisconsin,10/01/1903,42.6830566,-90.1176258
Dartford,Wisconsin,04/15/1904,43.8522955,-88.9652170375795
De Pere,Wisconsin,11/01/1901,44.4487476,-88.0601086
De Soto,Wisconsin,08/01/1903,,
Deer Park,Wisconsin,02/01/1902,45.1880196,-92.3854703
Deerfield,Wisconsin,11/01/1900,43.0519434,-89.0756675
Deforest,Wisconsin,09/15/1900,43.2477691,-89.3437277
Delaven,Wisconsin,03/01/1902,nf,nf
Delton,Wisconsin,05/01/1903,43.5842871,-89.7970465
Deronda,Wisconsin,07/01/1904,45.3035734,-92.4282507
Detroit Harbor,Wisconsin,05/02/1904,45.3566502,-86.9306739
Dilly,Wisconsin,10/01/1904,43.6421952,-90.4401297
Dodge,Wisconsin,04/15/1904,43.413614,-88.7177834
Dodgeville,Wisconsin,07/01/1902,42.9600074,-90.1303525
Dorchester,Wisconsin,06/01/1904,45.0030238,-90.3356913
Dousman,Wisconsin,11/15/1900,43.014176,-88.4725983
Downing,Wisconsin,02/01/1901,45.0463524,-92.1321285
Doylestown,Wisconsin,09/01/1903,43.4277649,-89.1501135
Dresser Junction,Wisconsin,09/01/1903,nf,nf
Durand,Wisconsin,05/14/1900,44.6263543,-91.965726
Eagle,Wisconsin,04/01/1902,42.8794563,-88.474265
Eau Claire,Wisconsin,04/16/1900,44.811349,-91.4984941
Eau Galle,Wisconsin,02/01/1902,44.6921869,-92.0115629
Eden,Wisconsin,05/02/1904,43.6936031,-88.3609356
Edgar,Wisconsin,10/01/1902,44.9271888,-89.9634629
Edgerton,Wisconsin,09/01/1900,42.8334738,-89.06949
Edmund,Wisconsin,02/15/1904,42.9676284,-90.2643838
Egg Harbor,Wisconsin,05/02/1904,45.0463808,-87.2970501
Eland,Wisconsin,05/16/1904,44.8705272,-89.2151134
Eldorado,Wisconsin,06/01/1901,43.8247079,-88.6217765
Eleva,Wisconsin,10/01/1903,44.5757974,-91.4701576
Elk Mound,Wisconsin,07/01/1901,44.87885,-91.6871125
Elkhart,Wisconsin,07/15/1903,43.8333269,-88.0178729
Elkhorn,Wisconsin,04/01/1902,42.6727927,-88.5445447
Ellison Bay,Wisconsin,05/02/1904,45.2547094,-87.0715034
Ellsworth,Wisconsin,02/01/1902,44.7321897,-92.4874124
Elroy,Wisconsin,05/01/1900,43.7408049,-90.272351
Embarrass,Wisconsin,06/01/1904,44.6655362,-88.7073234
Endeavor,Wisconsin,08/15/1904,43.7158123,-89.4662326
Ephriam,Wisconsin,05/02/1904,nf,nf
Ettrick,Wisconsin,04/15/1904,44.1682926,-91.2690443
Evansville,Wisconsin,04/15/1901,42.7803486,-89.2992249
Fairchild,Wisconsin,03/01/1902,44.6002391,-90.9629277
Fairwater,Wisconsin,05/02/1904,43.7438722,-88.8670556
